x;y;u
-0.891;-0.0666667;0.0076002
-0.891;-0.0555556;0.00811835
-0.891;-0.0444444;0.00853759
-0.891;-0.0333333;0.0088687
-0.891;-0.0222222;0.00910535
-0.891;-0.0111111;0.00924768
-0.891;0;0.00929565
-0.891;0.0111111;0.00924768
-0.891;0.0222222;0.00910536
-0.891;0.0333333;0.0088687
-0.891;0.0444444;0.00853751
-0.891;0.0555556;0.00811658
-0.891;0.0666667;0.00760037
-0.891;0.0777778;0.00698571
-0.891;0.0888889;0.00628046
-0.891;0.1;0.00548501
-0.891;0.111111;0.0046029
-0.891;0.122222;0.00362146
-0.891;0.133333;0.00254058
-0.891;0.144444;0.00137556
-0.891;0.155556;0.000128698
-0.891;0.166667;5.24621e-33
-0.891;0.177778;8.15804e-33
-0.891;0.188889;7.80423e-19
-0.891;0.2;8.95926e-33
-0.891;0.211111;6.79648e-33
-0.891;0.222222;3.86588e-19
-0.891;0.233333;8.59211e-33
-0.891;0.244444;9.33195e-33
-0.891;0.255556;8.25882e-33
-0.891;0.266667;5.3127e-33
-0.891;0.277778;7.27381e-33
-0.891;0.288889;9.04528e-33
-0.891;0.3;8.87416e-33
-0.891;0.311111;6.70816e-33
-0.891;0.322222;5.89335e-33
-0.891;0.333333;8.49491e-33
-0.891;0.344444;9.00243e-33
-0.891;0.355556;7.35214e-33
-0.891;0.366667;4.86613e-33
-0.891;0.377778;8.03067e-33
-0.891;0.388889;8.9209e-33
-0.891;0.4;7.44356e-33
-0.891;0.411111;4.512e-33
-0.891;0.422222;7.88401e-33
-0.891;0.433333;8.75128e-33
-0.891;0.444444;7.02241e-33
-0.891;0.455556;4.97722e-33
-0.891;0.466667;8.0933e-33
-0.891;0.477778;4.30046e-33
-0.891;0.488889;4.30046e-33
-0.891;0.5;4.27329e-33
-0.891;0.511111;4.24563e-33
-0.891;0.522222;7.56435e-33
-0.891;0.533333;4.21751e-33
-0.891;0.544444;4.21751e-33
-0.891;0.555556;8.18277e-33
-0.891;0.566667;5.32657e-33
-0.891;0.577778;6.37496e-33
-0.891;0.588889;8.21535e-33
-0.891;0.6;6.26714e-33
-0.891;0.611111;5.3378e-33
-0.891;0.622222;8.03204e-33
-0.891;0.633333;6.59904e-33
-0.891;0.644444;4.7401e-33
-0.891;0.655556;7.86512e-33
-0.891;0.666667;6.48282e-33
-0.891;0.677778;4.76543e-33
-0.891;0.688889;7.80382e-33
-0.891;0.7;5.89966e-33
-0.891;0.711111;5.38838e-33
-0.891;0.722222;7.71628e-33
-0.891;0.733333;4.61621e-33
-0.891;0.744444;6.38531e-33
-0.891;0.755556;3.85571e-33
-0.891;0.766667;3.82433e-33
-0.891;0.777778;7.27796e-33
-0.891;0.788889;5.82636e-33
-0.891;0.8;5.17534e-33
-0.891;0.811111;7.30294e-33
-0.891;0.822222;3.66775e-33
-0.891;0.833333;3.70055e-33
-0.891;0.844444;3.70055e-33
-0.891;0.855556;3.66775e-33
-0.891;0.866667;6.79096e-33
-0.891;0.877778;3.57263e-33
-0.891;0.888889;7.15778e-33
-0.891;0.9;3.54148e-33
-0.891;0.911111;6.79802e-33
-0.891;0.922222;4.47607e-33
-0.891;0.933333;6.01109e-33
-0.891;0.944444;5.5386e-33
-0.891;0.955556;5.05489e-33
-0.891;0.966667;3.47943e-33
-0.891;0.977778;4.14226e-33
-0.891;0.988889;6.39254e-33
-0.891;1;3.43768e-33
-0.891;1.01111;6.47462e-33
-0.891;1.02222;3.3878e-33
-0.891;1.03333;3.35754e-33
-0.891;1.04444;3.35754e-33
-0.891;1.05556;3.32748e-33
-0.891;1.06667;3.99328e-20
-0.891;1.07778;5.94306e-33
-0.891;1.08889;4.10112e-33
-0.891;1.1;5.31869e-33
-0.882;-1.11111;3.23933e-33
-0.882;-1.1;6.12431e-33
-0.882;-1.08889;3.60562e-33
-0.882;-1.07778;5.75448e-33
-0.882;-1.06667;4.43053e-33
-0.882;-1.05556;3.32764e-33
-0.882;-1.04444;3.32764e-33
-0.882;-1.03333;5.39531e-33
-0.882;-1.02222;5.01728e-33
-0.882;-1.01111;5.5417e-33
-0.882;-1;4.89421e-33
-0.882;-0.988889;5.8904e-33
-0.882;-0.977778;4.46625e-33
-0.882;-0.966667;6.35645e-33
-0.882;-0.955556;3.6407e-33
-0.882;-0.944444;6.8009e-33
-0.882;-0.933333;3.47951e-33
-0.882;-0.922222;7.03347e-33
-0.882;-0.911111;3.51039e-33
-0.882;-0.9;6.81703e-33
-0.882;-0.888889;4.81161e-33
-0.882;-0.877778;5.87032e-33
-0.882;-0.866667;6.47405e-33
-0.882;-0.855556;3.87161e-33
-0.882;-0.844444;7.27118e-33
-0.882;-0.833333;3.63553e-33
-0.882;-0.822222;6.81223e-33
-0.882;-0.811111;3.73006e-33
-0.882;-0.8;4.67424e-33
-0.882;-0.788889;7.452e-33
-0.882;-0.777778;3.78961e-33
-0.882;-0.766667;6.69276e-33
-0.882;-0.755556;3.82444e-33
-0.882;-0.744444;3.85701e-33
-0.882;-0.733333;7.50712e-33
-0.882;-0.722222;6.1806e-33
-0.882;-0.711111;4.98156e-33
-0.882;-0.7;7.78532e-33
-0.882;-0.688889;5.62936e-33
-0.882;-0.677778;5.73081e-33
-0.882;-0.666667;3.98006e-33
-0.882;-0.655556;5.57301e-33
-0.882;-0.644444;5.89508e-33
-0.882;-0.633333;4.04108e-33
-0.882;-0.622222;6.05508e-33
-0.882;-0.611111;5.51751e-33
-0.882;-0.6;8.10557e-33
-0.882;-0.588889;6.92249e-33
-0.882;-0.577778;4.45892e-33
-0.882;-0.566667;7.8944e-33
-0.882;-0.555556;7.86505e-33
-0.882;-0.544444;4.51735e-33
-0.882;-0.533333;4.21744e-33
-0.882;-0.522222;8.44331e-33
-0.882;-0.511111;6.79006e-33
-0.882;-0.5;5.04156e-33
-0.882;-0.488889;8.11899e-33
-0.882;-0.477778;8.35976e-33
-0.882;-0.466667;4.32738e-33
-0.882;-0.455556;4.32738e-33
-0.882;-0.444444;4.3535e-33
-0.882;-0.433333;8.28433e-33
-0.882;-0.422222;5.56666e-33
-0.882;-0.411111;4.40448e-33
-0.882;-0.4;8.72505e-33
-0.882;-0.388889;8.47343e-33
-0.882;-0.377778;6.00563e-33
-0.882;-0.366667;6.44294e-33
-0.882;-0.355556;8.69842e-33
-0.882;-0.344444;8.86346e-33
-0.882;-0.333333;6.99813e-33
-0.882;-0.322222;5.48807e-33
-0.882;-0.311111;-7.415e-19
-0.882;-0.3;9.17926e-33
-0.882;-0.288889;8.20515e-33
-0.882;-0.277778;5.39017e-33
-0.882;-0.266667;7.21891e-33
-0.882;-0.255556;9.05781e-33
-0.882;-0.244444;9.14879e-33
-0.882;-0.233333;7.53359e-33
-0.882;-0.222222;5.78943e-19
