x;y;u
-0.98;-0.18;0.000807672
-0.98;-0.17;0.00120009
-0.98;-0.16;0.00157495
-0.98;-0.15;0.00192656
-0.98;-0.14;0.00225097
-0.98;-0.13;0.002562
-0.98;-0.12;0.00284764
-0.98;-0.11;0.00309681
-0.98;-0.1;0.00332362
-0.98;-0.09;0.00352692
-0.98;-0.08;0.00371164
-0.98;-0.07;0.00387805
-0.98;-0.06;0.00402404
-0.98;-0.05;0.00414817
-0.98;-0.04;0.00424939
-0.98;-0.03;0.00432023
-0.98;-0.02;0.00437527
-0.98;-0.01;0.00441359
-0.98;0;0.00442495
-0.98;0.01;0.00440537
-0.98;0.02;0.00436846
-0.98;0.03;0.00431657
-0.98;0.04;0.00424409
-0.98;0.05;0.00415026
-0.98;0.06;0.00402521
-0.98;0.07;0.00388116
-0.98;0.08;0.0037153
-0.98;0.09;0.00352599
-0.98;0.1;0.00332522
-0.98;0.11;0.00310167
-0.98;0.12;0.00284597
-0.98;0.13;0.00255846
-0.98;0.14;0.00225249
-0.98;0.15;0.00193112
-0.98;0.16;0.00157692
-0.98;0.17;0.00120084
-0.98;0.18;0.00080406
-0.98;0.19;0.000390289
-0.98;0.2;2.80558e-33
-0.98;0.21;2.8065e-33
-0.98;0.22;-1.54887e-19
-0.98;0.23;2.81184e-33
-0.98;0.24;2.81614e-33
-0.98;0.25;-1.16516e-19
-0.98;0.26;-1.54671e-19
-0.98;0.27;2.80043e-33
-0.98;0.28;2.80361e-33
-0.98;0.29;2.8042e-33
-0.98;0.3;2.80201e-33
-0.98;0.31;2.80264e-33
-0.98;0.32;2.80614e-33
-0.98;0.33;2.80905e-33
-0.98;0.34;2.80765e-33
-0.98;0.35;2.80504e-33
-0.98;0.36;2.80208e-33
-0.98;0.37;2.80562e-33
-0.98;0.38;2.80687e-33
-0.98;0.39;2.80786e-33
-0.98;0.4;2.80703e-33
-0.98;0.41;2.80686e-33
-0.98;0.42;2.80632e-33
-0.98;0.43;2.80632e-33
-0.98;0.44;2.80871e-33
-0.98;0.45;2.80615e-33
-0.98;0.46;2.8055e-33
-0.98;0.47;2.8069e-33
-0.98;0.48;2.80546e-33
-0.98;0.49;2.81357e-33
-0.98;0.5;2.8102e-33
-0.98;0.51;2.81398e-33
-0.98;0.52;2.80178e-33
-0.98;0.53;2.80707e-33
-0.98;0.54;2.81122e-33
-0.98;0.55;2.81152e-33
-0.98;0.56;2.81152e-33
-0.98;0.57;2.80038e-33
-0.98;0.58;2.80038e-33
-0.98;0.59;2.80795e-33
-0.98;0.6;2.81099e-33
-0.98;0.61;2.80952e-33
-0.98;0.62;2.8121e-33
-0.98;0.63;2.80366e-33
-0.98;0.64;2.80472e-33
-0.98;0.65;2.80399e-33
-0.98;0.66;2.80388e-33
-0.98;0.67;2.8059e-33
-0.98;0.68;2.80722e-33
-0.98;0.69;2.80891e-33
-0.98;0.7;2.80876e-33
-0.98;0.71;2.80785e-33
-0.98;0.72;2.80731e-33
-0.98;0.73;2.80659e-33
-0.98;0.74;2.80667e-33
-0.98;0.75;2.80659e-33
-0.98;0.76;2.80961e-33
-0.98;0.77;2.80676e-33
-0.98;0.78;2.80975e-33
-0.98;0.79;2.80685e-33
-0.98;0.8;2.80506e-33
-0.98;0.81;2.80309e-33
-0.98;0.82;2.79878e-33
-0.98;0.83;2.79306e-33
-0.98;0.84;2.79813e-33
-0.98;0.85;2.80665e-33
-0.98;0.86;2.80913e-33
-0.98;0.87;2.81358e-33
-0.98;0.88;2.81365e-33
-0.98;0.89;1.55195e-19
-0.98;0.9;2.80756e-33
-0.98;0.91;2.80686e-33
-0.98;0.92;2.80634e-33
-0.98;0.93;2.80661e-33
-0.98;0.94;2.80701e-33
-0.98;0.95;2.80754e-33
-0.98;0.96;2.80915e-33
-0.98;0.97;2.80986e-33
-0.98;0.98;2.80395e-33
-0.98;0.99;2.79804e-33
-0.97;-1;2.80195e-33
-0.97;-0.99;-7.73171e-20
-0.97;-0.98;2.79284e-33
-0.97;-0.97;2.80079e-33
-0.97;-0.96;2.80874e-33
-0.97;-0.95;2.80949e-33
